episode,step,epsilon,reward,loss
15850,772267,0.3320,2.42,1.9376
15900,777513,0.3272,2.34,1.8180
15950,782534,0.3227,2.22,1.6886
16000,787946,0.3178,2.20,1.7718
16050,792640,0.3136,1.98,1.5852
16100,797737,0.3090,2.24,1.7970
16150,805194,0.3023,3.54,2.8045
16200,812012,0.2962,3.30,2.6472
16250,818345,0.2905,3.00,2.2949
16300,824890,0.2846,3.06,2.1470
16350,831788,0.2784,3.28,2.3526
16400,838722,0.2722,3.42,2.3623
16450,846552,0.2651,3.80,2.7548
16500,853460,0.2589,3.44,2.5119
16550,861097,0.2520,3.86,2.7149
16600,868184,0.2456,3.52,2.3816
16650,877133,0.2376,4.52,3.0756
16700,884787,0.2307,3.64,2.5880
16750,892934,0.2234,4.16,2.7414
16800,900049,0.2170,3.54,2.2849
16850,906533,0.2111,3.04,1.8803
16900,913105,0.2052,3.14,1.9412
16950,919090,0.1998,2.56,2.0106
17000,927441,0.1923,4.12,2.7076
17050,936909,0.1838,5.02,3.0460
17100,944366,0.1771,3.78,2.3840
17150,953196,0.1691,4.60,3.0214
17200,962903,0.1604,5.04,3.2739
17250,971483,0.1527,4.50,2.7300
17300,980033,0.1450,4.50,2.7301
17350,989251,0.1367,4.74,3.1949
17400,999371,0.1276,5.32,3.7667
17450,1009989,0.1180,5.54,3.9472
17500,1020889,0.1082,5.90,4.4230
17550,1030300,0.1000,5.00,3.7332
17600,1039816,0.1000,5.36,3.9276
17650,1049894,0.1000,5.60,4.1167
17700,1060182,0.1000,5.56,3.9239
17750,1071110,0.1000,5.92,4.4843
17800,1082594,0.1000,6.02,4.8453
17850,1093748,0.1000,6.04,4.9170
17900,1104284,0.1000,5.76,5.1318
17950,1115701,0.1000,6.20,5.7229
18000,1126175,0.1000,5.66,5.9301
18050,1136614,0.1000,5.58,6.5530
18100,1147883,0.1000,6.28,6.9423
18150,1157617,0.1000,5.22,5.6002
18200,1169637,0.1000,6.62,7.2632
18250,1181000,0.1000,6.22,7.3837
18300,1194706,0.1000,7.72,8.6427
18350,1205863,0.1000,6.22,7.1984
18400,1216960,0.1000,6.32,7.1141
18450,1228795,0.1000,6.48,7.4701
18500,1241307,0.1000,7.10,7.4081
18550,1253469,0.1000,6.72,6.7511
18600,1265477,0.1000,6.48,6.1231
18650,1276361,0.1000,5.96,5.5033
18700,1289159,0.1000,7.14,6.0664
18750,1300308,0.1000,6.36,5.0692
18800,1309413,0.1000,4.92,4.4612
18850,1319410,0.1000,5.38,4.9378
18900,1330737,0.1000,6.18,6.2446
18950,1342238,0.1000,6.28,6.3203
19000,1354985,0.1000,6.94,7.2942
19050,1366072,0.1000,6.14,6.1112
19100,1378211,0.1000,6.50,7.3501
19150,1387844,0.1000,5.24,5.9768
19200,1400151,0.1000,6.74,8.0463
19250,1412642,0.1000,7.02,7.6170
19300,1422871,0.1000,5.52,5.9337
19350,1434878,0.1000,6.90,7.3917
19400,1446236,0.1000,6.66,6.8578
19450,1456801,0.1000,5.92,6.6362
19500,1468825,0.1000,7.06,8.1895
19550,1480781,0.1000,6.78,7.9839
19600,1491336,0.1000,5.94,6.5631
19650,1502305,0.1000,6.60,6.3506
19700,1514102,0.1000,6.54,8.1102
19750,1524457,0.1000,5.74,7.0438
19800,1536559,0.1000,6.82,7.5482
19850,1546235,0.1000,5.56,6.0871
19900,1558729,0.1000,7.04,8.0449
19950,1573339,0.1000,8.96,8.8635
20000,1586067,0.1000,7.56,8.1441
20050,1597829,0.1000,6.90,7.5483
20100,1609059,0.1000,6.44,7.6826
20150,1620044,0.1000,5.98,8.2816
20200,1631128,0.1000,6.46,7.2711
20250,1644370,0.1000,7.46,8.7036
20300,1656591,0.1000,7.06,9.0777
20350,1667682,0.1000,6.38,13.9071
20400,1678461,0.1000,6.22,5.2490
20450,1690802,0.1000,7.28,5.7882
20500,1703144,0.1000,6.94,4.8370
20550,1715076,0.1000,6.72,4.5526
20600,1726879,0.1000,6.78,4.8701
20650,1739397,0.1000,7.42,5.5903
20700,1751069,0.1000,6.50,5.3879
20750,1762522,0.1000,6.36,5.1827
20800,1773521,0.1000,6.24,4.8034
20850,1783735,0.1000,5.72,4.3725
20900,1795769,0.1000,6.70,5.8117
20950,1808518,0.1000,7.38,5.8732
21000,1820587,0.1000,7.06,5.7406
21050,1832356,0.1000,6.88,5.9304
21100,1845088,0.1000,7.72,5.9724
21150,1857598,0.1000,8.46,6.2632
21200,1869038,0.1000,7.36,6.1832
21250,1879627,0.1000,6.20,5.8269
21300,1892018,0.1000,7.76,7.0476
21350,1906245,0.1000,8.86,7.3670
21400,1919116,0.1000,7.60,7.0097
21450,1932272,0.1000,7.90,7.0828
21500,1945806,0.1000,7.98,7.0878
21550,1958630,0.1000,8.28,6.4757
21600,1970704,0.1000,7.10,8.1288
21650,1983196,0.1000,7.56,7.1176
21700,1995593,0.1000,7.42,9.4498
21750,2009173,0.1000,8.68,10.4505
21800,2019613,0.1000,6.26,14.7293
21850,2033156,0.1000,7.98,19.4274
21900,2043819,0.1000,7.36,21.3040
21950,2056813,0.1000,8.02,24.6382
22000,2070493,0.1000,9.10,32.7194
22050,2083086,0.1000,7.40,27.7400
22100,2097479,0.1000,8.92,25.9654
22150,2109216,0.1000,6.98,20.5266
22200,2121872,0.1000,8.00,25.7210
22250,2134351,0.1000,7.90,22.3251
22300,2147345,0.1000,8.52,27.1978
